3.076387 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2585:3073, ack 1, win 32768, options [TS val 3024 ecr 2050,eol], length 488: HTTP
9.257350 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 69000:69536, ack 1, win 32768, options [TS val 9206 ecr 9156,eol], length 536: HTTP
9.359337 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 70072:70608, ack 1, win 32768, options [TS val 9308 ecr 9258,eol], length 536: HTTP
10.868252 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 77040:77576, ack 1, win 32768, options [TS val 10815 ecr 10765,eol], length 536: HTTP
11.372486 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 81864:82400, ack 1, win 32768, options [TS val 11320 ecr 11270,eol], length 536: HTTP
12.484617 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 91512:92048, ack 1, win 32768, options [TS val 12431 ecr 12381,eol], length 536: HTTP
12.583759 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 92048:92584, ack 1, win 32768, options [TS val 12532 ecr 12482,eol], length 536: HTTP
13.905689 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 110808:111344, ack 1, win 32768, options [TS val 13853 ecr 13803,eol], length 536: HTTP
14.106819 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 110808:111344, ack 1, win 32768, options [TS val 14055 ecr 14005,eol], length 536: HTTP
16.017795 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 126888:127424, ack 1, win 32768, options [TS val 15966 ecr 15916,eol], length 536: HTTP
16.321855 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 130640:131176, ack 1, win 32768, options [TS val 16270 ecr 16220,eol], length 536: HTTP
17.539750 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 141896:142432, ack 1, win 32768, options [TS val 17487 ecr 17437,eol], length 536: HTTP
17.639836 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 142968:143504, ack 1, win 32768, options [TS val 17587 ecr 17537,eol], length 536: HTTP
18.755955 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 156368:156904, ack 1, win 32768, options [TS val 18704 ecr 18653,eol], length 536: HTTP
19.161990 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 161728:162264, ack 1, win 32768, options [TS val 19110 ecr 19060,eol], length 536: HTTP
19.765193 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 164944:165480, ack 1, win 32768, options [TS val 19714 ecr 19664,eol], length 536: HTTP
20.677164 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 171376:171912, ack 1, win 32768, options [TS val 20625 ecr 20575,eol], length 536: HTTP
20.777251 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 171912:172448, ack 1, win 32768, options [TS val 20726 ecr 20676,eol], length 536: HTTP
21.385372 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 175664:176200, ack 1, win 32768, options [TS val 21333 ecr 21283,eol], length 536: HTTP
21.686403 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 176736:177272, ack 1, win 32768, options [TS val 21634 ecr 21584,eol], length 536: HTTP
22.190700 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 176736:177272, ack 1, win 32768, options [TS val 22139 ecr 22089,eol], length 536: HTTP
24.102620 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 186920:187456, ack 1, win 32768, options [TS val 24050 ecr 24000,eol], length 536: HTTP
24.609686 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 192816:193352, ack 1, win 32768, options [TS val 24557 ecr 24507,eol], length 536: HTTP
25.524662 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 204072:204608, ack 1, win 32768, options [TS val 25473 ecr 25423,eol], length 536: HTTP
26.030783 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 209432:209968, ack 1, win 32768, options [TS val 25979 ecr 25929,eol], length 536: HTTP
26.031727 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 209968:210504, ack 1, win 32768, options [TS val 25979 ecr 25929,eol], length 536: HTTP
26.234758 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 211576:212112, ack 1, win 32768, options [TS val 26183 ecr 26133,eol], length 536: HTTP
27.537836 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 215328:215864, ack 1, win 32768, options [TS val 27486 ecr 27436,eol], length 536: HTTP
28.147833 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 221760:222296, ack 1, win 32768, options [TS val 28096 ecr 28046,eol], length 536: HTTP
28.350863 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 223904:224440, ack 1, win 32768, options [TS val 28299 ecr 28249,eol], length 536: HTTP
30.077859 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 249632:250168, ack 1, win 32768, options [TS val 30026 ecr 29976,eol], length 536: HTTP
30.080691 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 251240:251776, ack 1, win 32768, options [TS val 30028 ecr 29978,eol], length 536: HTTP
30.687855 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 258744:259280, ack 1, win 32768, options [TS val 30635 ecr 30585,eol], length 536: HTTP
31.196809 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 265176:265712, ack 1, win 32768, options [TS val 31143 ecr 31093,eol], length 536: HTTP
31.701987 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 269464:270000, ack 1, win 32768, options [TS val 31650 ecr 31600,eol], length 536: HTTP
32.002073 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 270000:270536, ack 1, win 32768, options [TS val 31951 ecr 31901,eol], length 536: HTTP
32.104060 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 271072:271608, ack 1, win 32768, options [TS val 32053 ecr 32003,eol], length 536: HTTP
33.104060 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 271072:271608, ack 1, win 32768, options [TS val 33052 ecr 33002,eol], length 536: HTTP
34.204147 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 271072:271608, ack 1, win 32768, options [TS val 34153 ecr 34012,eol], length 536: HTTP
36.708182 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 278576:279112, ack 1, win 32768, options [TS val 36657 ecr 36607,eol], length 536: HTTP
37.319123 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 283936:284472, ack 1, win 32768, options [TS val 37266 ecr 37216,eol], length 536: HTTP
37.722326 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 287152:287688, ack 1, win 32768, options [TS val 37671 ecr 37621,eol], length 536: HTTP
38.226399 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 287152:287688, ack 1, win 32768, options [TS val 38175 ecr 38125,eol], length 536: HTTP
39.325331 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 289832:290368, ack 1, win 32768, options [TS val 39274 ecr 39224,eol], length 536: HTTP
40.342281 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 301088:301624, ack 1, win 32768, options [TS val 40290 ecr 40240,eol], length 536: HTTP
40.544355 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 303768:304304, ack 1, win 32768, options [TS val 40492 ecr 40442,eol], length 536: HTTP
42.065526 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 321456:321992, ack 1, win 32768, options [TS val 42014 ecr 41964,eol], length 536: HTTP
43.080575 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 336464:337000, ack 1, win 32768, options [TS val 43028 ecr 42978,eol], length 536: HTTP
43.281705 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 339144:339680, ack 1, win 32768, options [TS val 43229 ecr 43179,eol], length 536: HTTP
43.282649 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 339680:340216, ack 1, win 32768, options [TS val 43230 ecr 43180,eol], length 536: HTTP
43.283593 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 336464:337000, ack 1, win 32768, options [TS val 43231 ecr 43181,eol], length 536: HTTP
45.400579 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 357904:358440, ack 1, win 32768, options [TS val 45349 ecr 45299,eol], length 536: HTTP
45.401523 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 358440:358976, ack 1, win 32768, options [TS val 45349 ecr 45299,eol], length 536: HTTP
45.402467 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 358976:359512, ack 1, win 32768, options [TS val 45349 ecr 45299,eol], length 536: HTTP
46.108774 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 365408:365944, ack 1, win 32768, options [TS val 46055 ecr 46005,eol], length 536: HTTP
46.716870 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 371304:371840, ack 1, win 32768, options [TS val 46664 ecr 46613,eol], length 536: HTTP
47.425052 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 377736:378272, ack 1, win 32768, options [TS val 47374 ecr 47324,eol], length 536: HTTP
48.542089 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 392208:392744, ack 1, win 32768, options [TS val 48491 ecr 48441,eol], length 536: HTTP
49.356966 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 404536:405072, ack 1, win 32768, options [TS val 49306 ecr 49255,eol], length 536: HTTP
50.168067 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 414184:414720, ack 1, win 32768, options [TS val 50116 ecr 50066,eol], length 536: HTTP
51.181228 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 427048:427584, ack 1, win 32768, options [TS val 51130 ecr 51080,eol], length 536: HTTP
51.184060 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 428656:429192, ack 1, win 32768, options [TS val 51132 ecr 51082,eol], length 536: HTTP
51.993311 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 434552:435088, ack 1, win 32768, options [TS val 51942 ecr 51892,eol], length 536: HTTP
52.501334 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 439376:439912, ack 1, win 32768, options [TS val 52450 ecr 52400,eol], length 536: HTTP
53.008399 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 444200:444736, ack 1, win 32768, options [TS val 52957 ecr 52907,eol], length 536: HTTP
53.515465 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 449024:449560, ack 1, win 32768, options [TS val 53464 ecr 53414,eol], length 536: HTTP
53.921500 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 453312:453848, ack 1, win 32768, options [TS val 53869 ecr 53819,eol], length 536: HTTP
54.424617 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 455992:456528, ack 1, win 32768, options [TS val 54373 ecr 54323,eol], length 536: HTTP
55.132812 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 460280:460816, ack 1, win 32768, options [TS val 55081 ecr 55031,eol], length 536: HTTP
56.148806 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 473680:474216, ack 1, win 32768, options [TS val 56097 ecr 56047,eol], length 536: HTTP
57.060937 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 485472:486008, ack 1, win 32768, options [TS val 57009 ecr 56958,eol], length 536: HTTP
57.163868 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 487616:488152, ack 1, win 32768, options [TS val 57111 ecr 57061,eol], length 536: HTTP
57.872076 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 491904:492440, ack 1, win 32768, options [TS val 57821 ecr 57771,eol], length 536: HTTP
57.873020 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 492440:492976, ack 1, win 32768, options [TS val 57821 ecr 57771,eol], length 536: HTTP
58.279081 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 494584:495120, ack 1, win 32768, options [TS val 58227 ecr 58177,eol], length 536: HTTP
58.379167 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 495120:495656, ack 1, win 32768, options [TS val 58328 ecr 58278,eol], length 536: HTTP
59.680198 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 495120:495656, ack 1, win 32768, options [TS val 59629 ecr 59579,eol], length 536: HTTP
60.781228 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 501016:501552, ack 1, win 32768, options [TS val 60730 ecr 60680,eol], length 536: HTTP
63.095222 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 511200:511736, ack 1, win 32768, options [TS val 63043 ecr 62993,eol], length 536: HTTP
63.198153 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 513344:513880, ack 1, win 32768, options [TS val 63146 ecr 63096,eol], length 536: HTTP
63.702412 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 515488:516024, ack 1, win 32768, options [TS val 63651 ecr 63601,eol], length 536: HTTP
65.326489 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 540144:540680, ack 1, win 32768, options [TS val 65275 ecr 65225,eol], length 536: HTTP
66.038447 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 551936:552472, ack 1, win 32768, options [TS val 65986 ecr 65936,eol], length 536: HTTP
66.748518 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 559976:560512, ack 1, win 32768, options [TS val 66697 ecr 66647,eol], length 536: HTTP
67.562463 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 569624:570160, ack 1, win 32768, options [TS val 67509 ecr 67459,eol], length 536: HTTP
67.865580 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 572840:573376, ack 1, win 32768, options [TS val 67814 ecr 67764,eol], length 536: HTTP
68.876867 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 580880:581416, ack 1, win 32768, options [TS val 68825 ecr 68775,eol], length 536: HTTP
69.384876 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 586776:587312, ack 1, win 32768, options [TS val 69332 ecr 69282,eol], length 536: HTTP
69.893843 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 592136:592672, ack 1, win 32768, options [TS val 69841 ecr 69791,eol], length 536: HTTP
70.807875 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 602856:603392, ack 1, win 32768, options [TS val 70755 ecr 70705,eol], length 536: HTTP
70.909862 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 604464:605000, ack 1, win 32768, options [TS val 70858 ecr 70808,eol], length 536: HTTP
70.910806 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 605000:605536, ack 1, win 32768, options [TS val 70858 ecr 70808,eol], length 536: HTTP
72.214892 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 605000:605536, ack 1, win 32768, options [TS val 72163 ecr 72113,eol], length 536: HTTP
74.633865 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 628048:628584, ack 1, win 32768, options [TS val 74582 ecr 74532,eol], length 536: HTTP
74.736796 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 630728:631264, ack 1, win 32768, options [TS val 74684 ecr 74634,eol], length 536: HTTP
75.753747 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 641448:641984, ack 1, win 32768, options [TS val 75702 ecr 75652,eol], length 536: HTTP
76.462873 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 649488:650024, ack 1, win 32768, options [TS val 76411 ecr 76361,eol], length 536: HTTP
76.767891 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 652704:653240, ack 1, win 32768, options [TS val 76716 ecr 76666,eol], length 536: HTTP
77.778060 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 658600:659136, ack 1, win 32768, options [TS val 77727 ecr 77677,eol], length 536: HTTP
77.880047 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 659672:660208, ack 1, win 32768, options [TS val 77829 ecr 77779,eol], length 536: HTTP
78.083103 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 658600:659136, ack 1, win 32768, options [TS val 78032 ecr 77982,eol], length 536: HTTP
80.202883 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 686472:687008, ack 1, win 32768, options [TS val 80150 ecr 80100,eol], length 536: HTTP
80.300137 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 687544:688080, ack 1, win 32768, options [TS val 80249 ecr 80199,eol], length 536: HTTP
80.705254 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 692368:692904, ack 1, win 32768, options [TS val 80654 ecr 80604,eol], length 536: HTTP
81.009315 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 695584:696120, ack 1, win 32768, options [TS val 80958 ecr 80908,eol], length 536: HTTP
81.717337 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 699336:699872, ack 1, win 32768, options [TS val 81665 ecr 81615,eol], length 536: HTTP
82.220454 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 702016:702552, ack 1, win 32768, options [TS val 82169 ecr 82119,eol], length 536: HTTP
83.031567 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 708448:708984, ack 1, win 32768, options [TS val 82979 ecr 82929,eol], length 536: HTTP
83.536745 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 712736:713272, ack 1, win 32768, options [TS val 83484 ecr 83434,eol], length 536: HTTP
84.038918 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 712736:713272, ack 1, win 32768, options [TS val 83987 ecr 83937,eol], length 536: HTTP
85.646790 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 725064:725600, ack 1, win 32768, options [TS val 85595 ecr 85545,eol], length 536: HTTP
85.647734 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 725600:726136, ack 1, win 32768, options [TS val 85595 ecr 85545,eol], length 536: HTTP
86.758947 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 732568:733104, ack 1, win 32768, options [TS val 86708 ecr 86657,eol], length 536: HTTP
87.469974 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 740072:740608, ack 1, win 32768, options [TS val 87419 ecr 87368,eol], length 536: HTTP
89.098771 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 771160:771696, ack 1, win 32768, options [TS val 89047 ecr 88997,eol], length 536: HTTP
89.806009 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 781880:782416, ack 1, win 32768, options [TS val 89753 ecr 89703,eol], length 536: HTTP
90.309299 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 786168:786704, ack 1, win 32768, options [TS val 90258 ecr 90208,eol], length 536: HTTP
91.324361 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 796352:796888, ack 1, win 32768, options [TS val 91272 ecr 91222,eol], length 536: HTTP
92.236492 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 807072:807608, ack 1, win 32768, options [TS val 92185 ecr 92135,eol], length 536: HTTP
93.356348 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 825296:825832, ack 1, win 32768, options [TS val 93304 ecr 93254,eol], length 536: HTTP
93.760483 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 830656:831192, ack 1, win 32768, options [TS val 93708 ecr 93658,eol], length 536: HTTP
94.973644 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 841912:842448, ack 1, win 32768, options [TS val 94922 ecr 94872,eol], length 536: HTTP
95.073731 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 842984:843520, ack 1, win 32768, options [TS val 95022 ecr 94972,eol], length 536: HTTP
96.089750 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 855848:856384, ack 1, win 32768, options [TS val 96038 ecr 95988,eol], length 536: HTTP
96.090694 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 856384:856920, ack 1, win 32768, options [TS val 96038 ecr 95988,eol], length 536: HTTP
96.291823 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 859064:859600, ack 1, win 32768, options [TS val 96240 ecr 96190,eol], length 536: HTTP
96.797971 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 859064:859600, ack 1, win 32768, options [TS val 96747 ecr 96696,eol], length 536: HTTP
97.999820 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 863888:864424, ack 1, win 32768, options [TS val 97948 ecr 97898,eol], length 536: HTTP
98.202851 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 865496:866032, ack 1, win 32768, options [TS val 98151 ecr 98101,eol], length 536: HTTP
99.608835 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 871392:871928, ack 1, win 32768, options [TS val 99557 ecr 99507,eol], length 536: HTTP
99.609779 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 871928:872464, ack 1, win 32768, options [TS val 99557 ecr 99507,eol], length 536: HTTP
