2.000000 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [S], seq 0, win 65535, options [TS val 2000 ecr 0,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [S.], seq 0, ack 1, win 65535, options [TS val 2050 ecr 2000,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], ack 1, win 32768, options [TS val 2100 ecr 2050,eol], length 0
3.126550 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 8337:8873, ack 1, win 32768, options [TS val 3125 ecr 3075,eol], length 536: HTTP
3.127494 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 8873:9409, ack 1, win 32768, options [TS val 3125 ecr 3075,eol], length 536: HTTP
3.134678 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3084 ecr 3016,sack 1 {3609:4097}], length 0
3.134678 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 9409:9945, ack 1, win 32768, options [TS val 3134 ecr 3084,eol], length 536: HTTP
3.142003 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3091 ecr 3016,sack 1 {3609:4633}], length 0
3.142003 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 9945:10481, ack 1, win 32768, options [TS val 3142 ecr 3091,eol], length 536: HTTP
3.210278 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3160 ecr 3016,sack 2 {5121:5657}{3609:4633}], length 0
3.210278 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2585:3121, ack 1, win 32768, options [TS val 3210 ecr 3160,eol], length 536: HTTP
3.211222 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3161 ecr 3016,sack 2 {5121:6193}{3609:4633}], length 0
3.218470 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3168 ecr 3016,sack 2 {5121:6729}{3609:4633}], length 0
3.219414 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3169 ecr 3016,sack 2 {5121:7265}{3609:4633}], length 0
3.220358 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3170 ecr 3016,sack 2 {5121:7801}{3609:4633}], length 0
3.226662 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3176 ecr 3016,sack 2 {5121:8337}{3609:4633}], length 0
3.226662 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 3121:3609, ack 1, win 32768, options [TS val 3226 ecr 3176,eol], length 488: HTTP
3.227606 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3177 ecr 3016,sack 2 {5121:8873}{3609:4633}], length 0
3.228550 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3178 ecr 3016,sack 2 {5121:9409}{3609:4633}], length 0
3.228550 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 4633:5121, ack 1, win 32768, options [TS val 3228 ecr 3178,eol], length 488: HTTP
3.235734 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3185 ecr 3016,sack 2 {5121:9945}{3609:4633}], length 0
3.235734 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 10481:11017, ack 1, win 32768, options [TS val 3235 ecr 3185,eol], length 536: HTTP
3.243059 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3192 ecr 3016,sack 2 {5121:10481}{3609:4633}], length 0
3.243059 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 11017:11553, ack 1, win 32768, options [TS val 3243 ecr 3192,eol], length 536: HTTP
3.311334 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 3121, win 32768, options [TS val 3261 ecr 3210,sack 2 {5121:10481}{3609:4633}], length 0
3.311334 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 11553:12089, ack 1, win 32768, options [TS val 3311 ecr 3261,eol], length 536: HTTP
3.327628 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 4633, win 32768, options [TS val 3277 ecr 3226,sack 1 {5121:10481}], length 0
3.327628 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 12089:12625, ack 1, win 32768, options [TS val 3327 ecr 3277,eol], length 536: HTTP
3.329503 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 10481, win 32768, options [TS val 3279 ecr 3228,eol], length 0
3.329503 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 12625:13161, ack 1, win 32768, options [TS val 3329 ecr 3279,eol], length 536: HTTP
3.344089 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 11553, win 32768, options [TS val 3294 ecr 3235,eol], length 0
3.344089 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 13161:13697, ack 1, win 32768, options [TS val 3344 ecr 3294,eol], length 536: HTTP
3.345033 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 13697:14233, ack 1, win 32768, options [TS val 3344 ecr 3294,eol], length 536: HTTP
3.428659 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 12625, win 32768, options [TS val 3378 ecr 3311,eol], length 0
3.428659 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 14233:14769, ack 1, win 32768, options [TS val 3428 ecr 3378,eol], length 536: HTTP
3.429603 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 14769:15305, ack 1, win 32768, options [TS val 3428 ecr 3378,eol], length 536: HTTP
3.446076 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3395 ecr 3329,sack 1 {13697:14233}], length 0
3.446076 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 15305:15841, ack 1, win 32768, options [TS val 3446 ecr 3395,eol], length 536: HTTP
3.447020 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 15841:16377, ack 1, win 32768, options [TS val 3446 ecr 3395,eol], length 536: HTTP
3.529702 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3479 ecr 3329,sack 1 {13697:14769}], length 0
3.529702 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 16377:16913, ack 1, win 32768, options [TS val 3529 ecr 3479,eol], length 536: HTTP
3.530646 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3480 ecr 3329,sack 1 {13697:15305}], length 0
3.530646 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 13161:13697, ack 1, win 32768, options [TS val 3530 ecr 3480,eol], length 536: HTTP
3.547119 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3497 ecr 3329,sack 1 {13697:15841}], length 0
3.548063 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3497 ecr 3329,sack 1 {13697:16377}], length 0
3.630745 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 13161, win 32768, options [TS val 3580 ecr 3329,sack 1 {13697:16913}], length 0
3.630745 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 16913:17449, ack 1, win 32768, options [TS val 3630 ecr 3580,eol], length 536: HTTP
3.631676 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 16913, win 32768, options [TS val 3581 ecr 3530,eol], length 0
3.631689 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 17449:17985, ack 1, win 32768, options [TS val 3631 ecr 3581,eol], length 536: HTTP
3.732719 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 17985, win 32768, options [TS val 3682 ecr 3630,eol], length 0
3.732719 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 17985:18521, ack 1, win 32768, options [TS val 3732 ecr 3682,eol], length 536: HTTP
3.733663 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 18521:19057, ack 1, win 32768, options [TS val 3732 ecr 3682,eol], length 536: HTTP
3.834694 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 19057, win 32768, options [TS val 3784 ecr 3732,eol], length 0
3.834694 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 19057:19593, ack 1, win 32768, options [TS val 3834 ecr 3784,eol], length 536: HTTP
3.835638 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 19593:20129, ack 1, win 32768, options [TS val 3834 ecr 3784,eol], length 536: HTTP
3.836582 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 20129:20665, ack 1, win 32768, options [TS val 3834 ecr 3784,eol], length 536: HTTP
3.936668 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 20129, win 32768, options [TS val 3886 ecr 3834,eol], length 0
3.936668 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 20665:21201, ack 1, win 32768, options [TS val 3936 ecr 3886,eol], length 536: HTTP
3.937612 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 21201:21737, ack 1, win 32768, options [TS val 3936 ecr 3886,eol], length 536: HTTP
4.037711 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 20129, win 32768, options [TS val 3987 ecr 3834,sack 1 {20665:21201}], length 0
4.037711 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 21737:22273, ack 1, win 32768, options [TS val 4037 ecr 3987,eol], length 536: HTTP
4.038655 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 20129, win 32768, options [TS val 3988 ecr 3834,sack 1 {20665:21737}], length 0
4.038655 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 22273:22809, ack 1, win 32768, options [TS val 4038 ecr 3988,eol], length 536: HTTP
4.139711 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 20129, win 32768, options [TS val 4089 ecr 3834,sack 2 {22273:22809}{20665:21737}], length 0
4.139711 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 20129:20665, ack 1, win 32768, options [TS val 4139 ecr 4089,eol], length 536: HTTP
4.240755 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 21737, win 32768, options [TS val 4190 ecr 4139,sack 1 {22273:22809}], length 0
4.240755 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 22809:23345, ack 1, win 32768, options [TS val 4240 ecr 4190,eol], length 536: HTTP
4.341798 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 21737, win 32768, options [TS val 4291 ecr 4139,sack 1 {22273:23345}], length 0
4.341798 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 23345:23881, ack 1, win 32768, options [TS val 4341 ecr 4291,eol], length 536: HTTP
4.442841 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 21737, win 32768, options [TS val 4392 ecr 4139,sack 1 {22273:23881}], length 0
4.442841 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 21737:22273, ack 1, win 32768, options [TS val 4442 ecr 4392,eol], length 536: HTTP
4.543871 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 23881, win 32768, options [TS val 4493 ecr 4442,eol], length 0
4.543871 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 23881:24417, ack 1, win 32768, options [TS val 4543 ecr 4493,eol], length 536: HTTP
4.544815 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 24417:24953, ack 1, win 32768, options [TS val 4543 ecr 4493,eol], length 536: HTTP
4.645846 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 24953, win 32768, options [TS val 4595 ecr 4543,eol], length 0
4.645846 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 24953:25489, ack 1, win 32768, options [TS val 4645 ecr 4595,eol], length 536: HTTP
4.646790 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 25489:26025, ack 1, win 32768, options [TS val 4645 ecr 4595,eol], length 536: HTTP
4.747820 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 26025, win 32768, options [TS val 4697 ecr 4645,eol], length 0
4.747820 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 26025:26561, ack 1, win 32768, options [TS val 4747 ecr 4697,eol], length 536: HTTP
4.748764 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 26561:27097, ack 1, win 32768, options [TS val 4747 ecr 4697,eol], length 536: HTTP
4.749708 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 27097:27633, ack 1, win 32768, options [TS val 4747 ecr 4697,eol], length 536: HTTP
4.849795 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 27097, win 32768, options [TS val 4799 ecr 4747,eol], length 0
4.849795 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 27633:28169, ack 1, win 32768, options [TS val 4849 ecr 4799,eol], length 536: HTTP
4.850739 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 28169:28705, ack 1, win 32768, options [TS val 4849 ecr 4799,eol], length 536: HTTP
4.950825 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 28169, win 32768, options [TS val 4900 ecr 4747,eol], length 0
4.950825 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 28705:29241, ack 1, win 32768, options [TS val 4950 ecr 4900,eol], length 536: HTTP
4.951769 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 29241:29777, ack 1, win 32768, options [TS val 4950 ecr 4900,eol], length 536: HTTP
5.051855 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 29241, win 32768, options [TS val 5001 ecr 4849,eol], length 0
5.051855 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 29777:30313, ack 1, win 32768, options [TS val 5051 ecr 5001,eol], length 536: HTTP
5.052799 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 30313:30849, ack 1, win 32768, options [TS val 5051 ecr 5001,eol], length 536: HTTP
5.053743 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 30849:31385, ack 1, win 32768, options [TS val 5051 ecr 5001,eol], length 536: HTTP
5.152886 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 30313, win 32768, options [TS val 5102 ecr 4950,eol], length 0
5.152886 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 31385:31921, ack 1, win 32768, options [TS val 5152 ecr 5102,eol], length 536: HTTP
5.153830 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 31921:32457, ack 1, win 32768, options [TS val 5152 ecr 5102,eol], length 536: HTTP
5.154774 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5104 ecr 5051,eol], length 0
5.154774 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 32457:32993, ack 1, win 32768, options [TS val 5154 ecr 5104,eol], length 536: HTTP
5.155718 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 32993:33529, ack 1, win 32768, options [TS val 5154 ecr 5104,eol], length 536: HTTP
5.254873 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5204 ecr 5051,sack 1 {31921:32457}], length 0
5.254873 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 33529:34065, ack 1, win 32768, options [TS val 5254 ecr 5204,eol], length 536: HTTP
5.255817 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5205 ecr 5051,sack 1 {31921:32993}], length 0
5.255817 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 34065:34601, ack 1, win 32768, options [TS val 5255 ecr 5205,eol], length 536: HTTP
5.256761 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5206 ecr 5051,sack 1 {31921:33529}], length 0
5.256761 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 31385:31921, ack 1, win 32768, options [TS val 5256 ecr 5206,eol], length 536: HTTP
5.355916 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5305 ecr 5051,sack 1 {31921:34065}], length 0
5.356860 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 31385, win 32768, options [TS val 5306 ecr 5051,sack 1 {31921:34601}], length 0
5.356860 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 34601:35137, ack 1, win 32768, options [TS val 5356 ecr 5306,eol], length 536: HTTP
5.357791 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 34601, win 32768, options [TS val 5307 ecr 5256,eol], length 0
5.357804 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 35137:35673, ack 1, win 32768, options [TS val 5357 ecr 5307,eol], length 536: HTTP
5.458835 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 35673, win 32768, options [TS val 5408 ecr 5356,eol], length 0
5.458835 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 35673:36209, ack 1, win 32768, options [TS val 5458 ecr 5408,eol], length 536: HTTP
5.459779 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 36209:36745, ack 1, win 32768, options [TS val 5458 ecr 5408,eol], length 536: HTTP
5.560809 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 36745, win 32768, options [TS val 5510 ecr 5458,eol], length 0
5.560809 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 36745:37281, ack 1, win 32768, options [TS val 5560 ecr 5510,eol], length 536: HTTP
5.561753 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 37281:37817, ack 1, win 32768, options [TS val 5560 ecr 5510,eol], length 536: HTTP
5.562697 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 37817:38353, ack 1, win 32768, options [TS val 5560 ecr 5510,eol], length 536: HTTP
5.662783 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 37817, win 32768, options [TS val 5612 ecr 5560,eol], length 0
5.662783 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 38353:38889, ack 1, win 32768, options [TS val 5662 ecr 5612,eol], length 536: HTTP
5.663727 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 38889:39425, ack 1, win 32768, options [TS val 5662 ecr 5612,eol], length 536: HTTP
5.763814 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 38889, win 32768, options [TS val 5713 ecr 5560,eol], length 0
5.763814 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 39425:39961, ack 1, win 32768, options [TS val 5763 ecr 5713,eol], length 536: HTTP
5.764758 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 39961:40497, ack 1, win 32768, options [TS val 5763 ecr 5713,eol], length 536: HTTP
5.864844 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 39961, win 32768, options [TS val 5814 ecr 5662,eol], length 0
5.864844 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 40497:41033, ack 1, win 32768, options [TS val 5864 ecr 5814,eol], length 536: HTTP
5.865788 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 41033:41569, ack 1, win 32768, options [TS val 5864 ecr 5814,eol], length 536: HTTP
5.866732 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 41569:42105, ack 1, win 32768, options [TS val 5864 ecr 5814,eol], length 536: HTTP
5.965875 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 41033, win 32768, options [TS val 5915 ecr 5763,eol], length 0
5.965875 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 42105:42641, ack 1, win 32768, options [TS val 5965 ecr 5915,eol], length 536: HTTP
5.966819 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 42641:43177, ack 1, win 32768, options [TS val 5965 ecr 5915,eol], length 536: HTTP
5.967763 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 42105, win 32768, options [TS val 5917 ecr 5864,eol], length 0
5.967763 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 43177:43713, ack 1, win 32768, options [TS val 5967 ecr 5917,eol], length 536: HTTP
5.968707 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 43713:44249, ack 1, win 32768, options [TS val 5967 ecr 5917,eol], length 536: HTTP
6.067849 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 43177, win 32768, options [TS val 6017 ecr 5965,eol], length 0
6.067849 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 44249:44785, ack 1, win 32768, options [TS val 6067 ecr 6017,eol], length 536: HTTP
6.068793 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 44785:45321, ack 1, win 32768, options [TS val 6067 ecr 6017,eol], length 536: HTTP
6.069737 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6019 ecr 5967,eol], length 0
6.069737 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 45321:45857, ack 1, win 32768, options [TS val 6069 ecr 6019,eol], length 536: HTTP
6.070681 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 45857:46393, ack 1, win 32768, options [TS val 6069 ecr 6019,eol], length 536: HTTP
6.169836 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6119 ecr 5967,sack 1 {44785:45321}], length 0
6.169836 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 46393:46929, ack 1, win 32768, options [TS val 6169 ecr 6119,eol], length 536: HTTP
6.170780 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6120 ecr 5967,sack 1 {44785:45857}], length 0
6.170780 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 46929:47465, ack 1, win 32768, options [TS val 6170 ecr 6120,eol], length 536: HTTP
6.171724 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6121 ecr 5967,sack 1 {44785:46393}], length 0
6.171724 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 44249:44785, ack 1, win 32768, options [TS val 6171 ecr 6121,eol], length 536: HTTP
6.270879 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6220 ecr 5967,sack 1 {44785:46929}], length 0
6.271823 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 44249, win 32768, options [TS val 6221 ecr 5967,sack 1 {44785:47465}], length 0
6.271823 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 47465:48001, ack 1, win 32768, options [TS val 6271 ecr 6221,eol], length 536: HTTP
6.272755 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 47465, win 32768, options [TS val 6222 ecr 6171,eol], length 0
